ANO_MES,ORGAO,NOME_ORGAO,SIGLA_ORGAO,NIVEL,CARGO,PLANO_CARREIRA,NOME_CARGO,APROVADA,DISTRIBUIDA,OCUPADA,VAGA,VACANCIA_POR_EXONERACAO,VACANCIA_POR_DEMISSAO,VACANCIA_POR_PROMOCAO,VACANCIA_POR_READAPTACAO,VACANCIA_POR_APOSENTADORIA,VACANCIA_POR_POSSE_CARGO_INAC,VACANCIA_POR_FALECIMENTO,CARGO_EM_EXTINCAO
202603,13000,"MINIST.DA AGRICULTURA,PECUARIA E ABAST.",MAPA,NI,8001,Plano de Classificação de Cargos - PCC,AGENTE ADMINISTRATIVO,2,2,2,0,14,1,0,0,123,4,0,S
202603,13000,"MINIST.DA AGRICULTURA,PECUARIA E ABAST.",MAPA,NS,9001,Plano de Classificação de Cargos - PCC,MEDICO,1,1,1,0,0,0,0,0,2,0,0,S
202603,13000,"MINIST.DA AGRICULTURA,PECUARIA E ABAST.",MAPA,,10057,Plano de Classificação de Cargos - PCC,AUXILIAR OPERACIONAL DE AGROPECUARIA,1,1,1,0,1,0,0,0,1,0,0,S
202603,13000,"MINIST.DA AGRICULTURA,PECUARIA E ABAST.",MAPA,NS,15001,Plano de Classificação de Cargos - PCC,TECNICO DE PLANEJAMENTO,1,1,1,0,0,0,0,0,0,0,0,S
202603,13000,"MINIST.DA AGRICULTURA,PECUARIA E ABAST.",MAPA,NI,104001,Cargos de Atividades Técnicas de Fiscalização Agropecuária do Quadro de Pessoal do Mapa,AGENTE DE INSP SANIT IND PROD ORIGEM ANI,1,1,0,1,0,0,0,0,2,0,0,N
202603,13000,"MINIST.DA AGRICULTURA,PECUARIA E ABAST.",MAPA,NI,104002,Cargos de Atividades Técnicas de Fiscalização Agropecuária do Quadro de Pessoal do Mapa,AGENTE DE ATIVIDADES AGROPECUARIAS,1,1,0,1,0,0,0,0,1,0,0,N
202603,13000,"MINIST.DA AGRICULTURA,PECUARIA E ABAST.",MAPA,NS,409010,Carreira de Auditor Fiscal Federal Agropecuário,AUDITOR FISCAL FEDERAL AGROPEC,1,1,0,1,0,0,0,0,2,0,0,N
202603,13000,"MINIST.DA AGRICULTURA,PECUARIA E ABAST.",MAPA,NS,480246,Plano Geral de Cargos do Poder Executivo - PGPE,TECNICO EM COMUNICACAO SOCIAL,1,1,0,1,0,0,0,0,1,0,0,N
202603,13000,"MINIST.DA AGRICULTURA,PECUARIA E ABAST.",MAPA,NI,481004,Plano Geral de Cargos do Poder Executivo - PGPE,AGENTE ADMINISTRATIVO,1,1,0,1,0,0,0,0,2,0,0,N
202603,13000,"MINIST.DA AGRICULTURA,PECUARIA E ABAST.",MAPA,NS,830001,Carreira de Auditor Fiscal Federal Agropecuário,FISCAL DE DEFESA AGROPECUARIA,2,2,0,2,0,0,0,0,1,0,1,N
202603,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,MDA,NS,403008,Carreira de Analista de Comércio Exterior,ANALISTA DE COMERCIO EXTERIOR,15,2,2,13,0,0,0,0,2,0,0,N
202603,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,MDA,NS,476002,Tabela Remuneratória Especial -ERCE,ECONOMISTA,9,9,9,0,0,0,0,0,0,0,0,N
202603,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,MDA,NS,476006,Tabela Remuneratória Especial -ERCE,ENGENHEIRO AGRIMENSOR,1,1,1,0,0,0,0,0,0,0,0,N
202603,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,MDA,NS,476007,Tabela Remuneratória Especial -ERCE,ENGENHEIRO AGRONOMO,5,5,5,0,0,0,0,0,0,0,0,N
202603,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,MDA,NS,476009,Tabela Remuneratória Especial -ERCE,ENGENHEIRO FLORESTAL,1,1,1,0,0,0,0,0,0,0,0,N
202603,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,MDA,NS,476018,Tabela Remuneratória Especial -ERCE,ESTATISTICO,1,1,1,0,0,0,0,0,0,0,0,N
202603,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,MDA,NS,480108,Plano Geral de Cargos do Poder Executivo - PGPE,ENGENHEIRO AGRONOMO,60,0,0,60,0,0,0,0,0,0,0,N
202603,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,MDA,NI,481004,Plano Geral de Cargos do Poder Executivo - PGPE,AGENTE ADMINISTRATIVO,18,18,17,1,0,0,0,0,0,1,0,N
202603,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,MDA,NI,481026,Plano Geral de Cargos do Poder Executivo - PGPE,AGENTE DE PORTARIA,1,1,1,0,0,0,0,0,0,0,0,S
202603,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,MDA,NI,481138,Plano Geral de Cargos do Poder Executivo - PGPE,AUX OPERAC DE SERV DIVERSOS,1,1,1,0,0,0,0,0,0,0,0,S
202603,13100,MIN DO DESENV AGR E AGRIC FAMILIAR,MDA,NI,481175,Plano Geral de Cargos do Poder Executivo - PGPE,DATILOGRAFO,1,1,1,0,0,0,0,0,0,0,0,S
202603,13200,MINISTERIO DA PESCA E AQUICULTURA,MPA,NS,403008,Carreira de Analista de Comércio Exterior,ANALISTA DE COMERCIO EXTERIOR,3,3,3,0,0,0,0,0,0,0,0,N
202603,13200,MINISTERIO DA PESCA E AQUICULTURA,MPA,NS,476005,Tabela Remuneratória Especial -ERCE,ENGENHEIRO,22,22,22,0,0,0,0,0,0,0,0,N
202603,13200,MINISTERIO DA PESCA E AQUICULTURA,MPA,NS,476014,Tabela Remuneratória Especial -ERCE,ENGENHEIRO DE PESCA,1,1,1,0,0,0,0,0,0,0,0,N
202603,13200,MINISTERIO DA PESCA E AQUICULTURA,MPA,NS,480046,Plano Geral de Cargos do Poder Executivo - PGPE,ARQUITETO,1,0,0,1,1,0,0,0,0,0,0,N
202603,13200,MINISTERIO DA PESCA E AQUICULTURA,MPA,NI,481004,Plano Geral de Cargos do Poder Executivo - PGPE,AGENTE ADMINISTRATIVO,13,13,12,1,0,0,0,0,0,0,1,N
202603,13200,MINISTERIO DA PESCA E AQUICULTURA,MPA,NI,481035,Plano Geral de Cargos do Poder Executivo - PGPE,AGENTE DE VIGILANCIA,1,1,1,0,0,0,0,0,0,0,0,S
202603,13200,MINISTERIO DA PESCA E AQUICULTURA,MPA,NI,481138,Plano Geral de Cargos do Poder Executivo - PGPE,AUX OPERAC DE SERV DIVERSOS,1,1,1,0,0,0,0,0,0,0,0,S
202603,13200,MINISTERIO DA PESCA E AQUICULTURA,MPA,NI,481175,Plano Geral de Cargos do Poder Executivo - PGPE,DATILOGRAFO,3,3,3,0,0,0,0,0,0,0,0,S
202603,13200,MINISTERIO DA PESCA E AQUICULTURA,MPA,NI,481333,Plano Geral de Cargos do Poder Executivo - PGPE,TEC DE COLONIZACAO,1,1,1,0,0,0,0,0,0,0,0,S
202603,13300,MINISTERIO DA AGRICULTURA E PECUARIA,MAPA,NI,8001,Plano de Classificação de Cargos - PCC,AGENTE ADMINISTRATIVO,1,1,1,0,0,0,0,0,0,0,0,S
202603,13300,MINISTERIO DA AGRICULTURA E PECUARIA,MAPA,NS,9027,Plano de Classificação de Cargos - PCC,TECNICO EM ASSUNTOS EDUCACIONAIS,5,0,0,5,0,0,0,0,4,0,1,N
202603,13300,MINISTERIO DA AGRICULTURA E PECUARIA,MAPA,NI,104001,Cargos de Atividades Técnicas de Fiscalização Agropecuária do Quadro de Pessoal do Mapa,AGENTE DE INSP SANIT IND PROD ORIGEM ANI,1636,826,672,964,12,13,0,0,800,76,63,N
202603,13300,MINISTERIO DA AGRICULTURA E PECUARIA,MAPA,NI,104002,Cargos de Atividades Técnicas de Fiscalização Agropecuária do Quadro de Pessoal do Mapa,AGENTE DE ATIVIDADES AGROPECUARIAS,592,356,250,342,1,0,0,0,315,1,25,N
202603,13300,MINISTERIO DA AGRICULTURA E PECUARIA,MAPA,NI,104003,Cargos de Atividades Técnicas de Fiscalização Agropecuária do Quadro de Pessoal do Mapa,TECNICO DE LABORATORIO,265,232,206,59,12,3,0,0,19,20,5,N
202603,13300,MINISTERIO DA AGRICULTURA E PECUARIA,MAPA,,104010,Cargos de Atividades Técnicas de Fiscalização Agropecuária do Quadro de Pessoal do Mapa,AUXILIAR DE LABORATORIO,87,60,39,48,15,0,0,0,9,23,1,N
202603,13300,MINISTERIO DA AGRICULTURA E PECUARIA,MAPA,,104020,Cargos de Atividades Técnicas de Fiscalização Agropecuária do Quadro de Pessoal do Mapa,AUXILIAR OPERACIONAL EM AGROPECUARIA,622,253,207,415,2,3,0,0,367,0,43,N
