sigla_orgao,qtd_cargos_distintos,total_aprovada,total_ocupada,total_vaga,total_deficit,total_vacancias_mes,total_aposentadorias_mes,taxa_ocupacao_orgao
MS,258,65209,31374,33835,33835,80922,71267,0.481129905381159
MF,116,47867,19769,28098,28098,22348,14308,0.41299851672342114
INSS,96,43022,18490,24532,24532,29582,23717,0.4297801125005811
MEC,212,29497,1385,28112,28112,15871,10924,0.046953927518052684
DPF,69,17432,14155,3277,3277,3616,2577,0.8120123910050482
MGI,190,16241,8630,7611,7611,1953,723,0.5313712209839295
DPRF,34,13812,13188,624,624,734,475,0.9548218940052129
UFRJ,192,13037,12119,918,918,1335,898,0.929585027230191
IBGE,14,11524,4259,7265,7265,6978,5590,0.36957653592502604
MAPA,109,9542,5101,4441,4441,5781,4771,0.5345839446656885
AGU,136,9007,7349,1658,1658,2104,1711,0.8159209503719329
MTE,88,8671,5204,3467,3467,3427,2522,0.6001614577326722
CM,124,8512,2254,6258,6258,9329,7162,0.26480263157894735
C.AER,92,8350,2550,5800,5800,6520,5328,0.30538922155688625
C.EX,92,7466,2770,4696,4696,7749,6166,0.3710152692204661
UFMG,121,7427,7052,375,375,576,394,0.9495085498855527
UFF,137,7357,6760,597,597,710,398,0.9188527932581215
UFPE,144,6644,6314,330,330,440,248,0.9503311258278145
FIOCRUZ,48,6543,4559,1984,1984,1871,1524,0.6967751795812318
INCRA,50,6268,3054,3214,3214,2945,1894,0.4872367581365667
UFPB,164,6169,5882,287,287,559,412,0.9534770627330199
MPS,38,6161,3737,2424,2424,2386,1669,0.6065573770491803
UFPR,125,6090,5845,245,245,429,313,0.9597701149425287
UNB,129,5882,5571,311,311,406,175,0.9471268276096566
UFBA,128,5803,5518,285,285,426,267,0.9508874719972428
UFSC,128,5746,5393,353,353,493,377,0.9385659589279499
UFCE,144,5670,5334,336,336,719,569,0.9407407407407408
UNIFESP,101,5574,5126,448,448,598,413,0.9196268388948691
UFRGS/RS,137,5551,5258,293,293,459,330,0.947216717708521
EX-TER/AP,164,5528,5072,456,456,3108,2368,0.9175108538350217
UFRN,148,5501,5282,219,219,635,466,0.9601890565351754
UFPA,110,5431,5200,231,231,285,193,0.957466396612042
MCTI,27,5354,3098,2256,2256,2209,1683,0.5786327979081061
IBAMA,8,5239,3249,1990,1990,2272,1712,0.6201565184195457
CGU,13,5066,2061,3005,3005,2063,1051,0.40682984603237266
UFU,127,4931,4773,158,158,287,220,0.9679578178868383
MRE,44,4891,2613,2278,2278,1366,585,0.5342465753424658
IFSP,55,4730,4570,160,160,141,53,0.9661733615221987
UFSM/RS,126,4619,4388,231,231,361,276,0.9499891751461356
ABIN,88,4577,1055,3522,3522,298,149,0.23050032772558443
UFGO,126,4415,4233,182,182,212,155,0.9587768969422423
EX-TER/RO,132,4379,3974,405,405,2226,1923,0.9075131308517926
DNIT,37,4236,2041,2195,2195,1290,949,0.48182247403210576
IFCE,89,3972,3645,327,327,226,81,0.9176737160120846
SIPEC,109,3930,0,3930,3930,2291,1690,0.0
UFES,118,3775,3611,164,164,298,223,0.9565562913907285
FUNASA,117,3687,861,2826,2826,15520,12858,0.2335231895850285
UFMA,99,3642,3459,183,183,184,96,0.9497528830313015
UTFPR,71,3637,3540,97,97,90,45,0.973329667308221
UFAL,110,3471,3308,163,163,201,144,0.9530394698934025
FUNAI,78,3423,1638,1785,1785,862,533,0.4785276073619632
FUAM,91,3411,3225,186,186,181,94,0.9454705364995603
IFMA,84,3390,3109,281,281,150,60,0.9171091445427728
UFMS,91,3381,3234,147,147,201,134,0.9565217391304348
CNEN,8,3290,1352,1938,1938,1703,1462,0.41094224924012157
UFJF,102,3217,3105,112,112,145,94,0.9651849549269506
FUFS,110,3200,3036,164,164,132,99,0.94875
IFBA,70,3131,2868,263,263,181,49,0.9160012775471096
UFMT,105,3116,2944,172,172,271,177,0.944801026957638
UFV,122,3109,3022,87,87,341,284,0.9720167256352525
IFES,80,3078,2915,163,163,119,54,0.947043534762833
UFCG,112,3071,2919,152,152,213,155,0.950504721589059
MD,45,2877,1234,1643,1643,1260,392,0.4289190128606187
IFRN,78,2833,2663,170,170,89,38,0.9399929403459231
IFSC,63,2792,2667,125,125,79,46,0.9552292263610315
UFPI,98,2782,2644,138,138,148,96,0.9503953989935299
ICMBIO,8,2730,1895,835,835,692,482,0.6941391941391941
FUFPEL,120,2708,2602,106,106,187,133,0.9608567208271788
IFPR,44,2673,2568,105,105,71,17,0.9607182940516273
IFPA,72,2666,2452,214,214,133,35,0.9197299324831207
IFPB,88,2578,2392,186,186,111,37,0.9278510473235065
IFPI,58,2547,2414,133,133,59,17,0.9477817039654496
IFPE,80,2510,2261,249,249,183,122,0.900796812749004
FUFSCAR,84,2441,2259,182,182,162,100,0.925440393281442
UNIRIO,97,2392,2141,251,251,280,160,0.895066889632107
UFRRJ,101,2388,2257,131,131,192,126,0.945142378559464
C.PEDROII,51,2339,2223,116,116,106,68,0.950406156477127
EX-TER/RR,129,2275,2248,27,27,2401,1968,0.9881318681318682
IFRS,66,2267,2182,85,85,40,17,0.9625055138950155
UFRPE,88,2207,2108,99,99,123,70,0.9551427276846398
IFMT,67,2186,2008,178,178,114,37,0.918572735590119
IFG,67,2170,2015,155,155,88,26,0.9285714285714286
ANM,22,2107,831,1276,1276,923,656,0.39439962031324155
IFAM,75,2095,1863,232,232,114,48,0.8892601431980907
UFTM,86,2091,1984,107,107,129,101,0.9488283118125299
IFRJ,70,2089,1910,179,179,128,48,0.9143130684538057
MJ,42,2038,1814,224,224,758,521,0.8900883218842002
IFBAIANO,75,2027,1809,218,218,80,25,0.8924518993586581
FURG,105,2026,1926,100,100,103,67,0.9506416584402764
IFMG,81,2009,1904,105,105,48,26,0.9477351916376306
IFAL,70,1993,1854,139,139,48,8,0.9302558956347216
